"ID","YEAR","EXP","WKS","OCC","IND","SOUTH","SMSA","MS","FEM","UNION","ED","BLK","LWAGE"
"A001",1976,3,32,0,0,1,0,1,0,0,9,0,5.56068
"A001",1977,4,43,0,0,1,0,1,0,0,9,0,5.72031
"A001",1978,5,40,0,0,1,0,1,0,0,9,0,5.99645
"A001",1979,6,39,0,0,1,0,1,0,0,9,0,5.99645
"A001",1980,7,42,0,1,1,0,1,0,0,9,0,6.06146
"A001",1981,8,35,0,1,1,0,1,0,0,9,0,6.17379
"A001",1982,9,32,0,1,1,0,1,0,0,9,0,6.24417
"A002",1976,30,34,1,0,0,0,1,0,0,11,0,6.16331
"A002",1977,31,27,1,0,0,0,1,0,0,11,0,6.21461
"A002",1978,32,33,1,1,0,0,1,0,1,11,0,6.2634
"A002",1979,33,30,1,1,0,0,1,0,0,11,0,6.54391
"A002",1980,34,30,1,1,0,0,1,0,0,11,0,6.69703
"A002",1981,35,37,1,1,0,0,1,0,0,11,0,6.79122
"A002",1982,36,30,1,1,0,0,1,0,0,11,0,6.81564
"A003",1976,6,50,1,1,0,0,1,0,1,12,0,5.65249
"A003",1977,7,51,1,1,0,0,1,0,1,12,0,6.43615
"A003",1978,8,50,1,1,0,0,1,0,1,12,0,6.54822
"A003",1979,9,52,1,1,0,0,1,0,1,12,0,6.60259
"A003",1980,10,52,1,1,0,0,1,0,1,12,0,6.6958
"A003",1981,11,52,1,1,0,0,0,0,1,12,0,6.77878
"A003",1982,12,46,1,1,0,0,0,0,1,12,0,6.86066
"A004",1976,31,52,1,0,0,1,0,1,0,10,1,6.15698
"A004",1977,32,46,1,0,0,1,0,1,0,10,1,6.23832
"A004",1978,33,46,1,0,0,1,0,1,0,10,1,6.30079
"A004",1979,34,49,1,0,0,1,0,1,0,10,1,6.35957
"A004",1980,35,44,1,0,0,1,0,1,0,10,1,6.46925
"A004",1981,36,52,1,0,0,1,0,1,0,10,1,6.56244
"A004",1982,37,46,1,0,0,1,0,1,0,10,1,6.62141
"A005",1976,10,50,1,0,0,0,1,0,1,16,0,6.43775
"A005",1977,11,46,1,0,0,0,1,0,1,16,0,6.62007
"A005",1978,12,40,1,0,0,0,1,0,1,16,0,6.63332
"A005",1979,13,50,0,0,0,0,1,0,0,16,0,6.98286
"A005",1980,14,47,1,0,0,1,1,0,0,16,0,7.04752
"A005",1981,15,47,0,0,0,0,1,0,0,16,0,7.31322
"A005",1982,16,49,0,0,0,0,1,0,0,16,0,7.29574
"A006",1976,26,44,1,1,0,1,1,0,0,12,0,6.90575
"A006",1977,27,47,1,1,0,1,1,0,0,12,0,6.90575
"A006",1978,28,47,1,1,0,1,1,0,0,12,0,6.90776
"A006",1979,29,47,1,1,0,1,1,0,0,12,0,7.00307
"A006",1980,30,44,1,1,0,1,1,0,0,12,0,7.06902
"A006",1981,31,45,1,1,0,1,1,0,0,12,0,7.52023
"A006",1982,32,47,1,1,0,1,1,0,0,12,0,7.33889
"A007",1976,15,46,1,0,0,0,1,0,1,12,0,6.1334
"A007",1977,16,48,1,0,0,0,1,0,1,12,0,6.17379
"A007",1978,17,49,1,0,0,0,1,0,1,12,0,6.21261
"A007",1979,18,46,1,0,0,0,1,0,1,12,0,6.31355
"A007",1980,19,47,1,0,0,0,1,0,1,12,0,6.37502
"A007",1981,20,47,1,0,0,0,1,0,1,12,0,6.44572
"A007",1982,21,48,1,0,0,0,1,0,1,12,0,6.52209
"A008",1976,23,51,1,1,1,0,1,0,1,10,0,6.3315
"A008",1977,24,50,1,1,1,0,1,0,1,10,0,6.40357
"A008",1978,25,50,1,1,1,0,1,0,1,10,0,6.54391
"A008",1979,26,50,1,1,1,0,1,0,1,10,0,6.56244
"A008",1980,27,44,1,1,0,1,1,0,1,10,0,6.59167
"A008",1981,28,51,1,1,0,1,1,0,1,10,0,6.81783
"A008",1982,29,51,1,1,0,1,1,0,1,10,0,6.89163
"A009",1976,3,50,0,0,1,1,1,0,0,16,0,6.55108
"A009",1977,4,48,0,0,1,1,1,0,0,16,0,6.55108
"A009",1978,5,50,0,0,1,1,1,0,0,16,0,6.80239
"A009",1979,6,48,0,0,1,1,1,0,0,16,0,6.90776
"A009",1980,7,48,0,0,1,1,1,0,0,16,0,7.09008
"A009",1981,8,44,0,0,1,1,1,0,0,16,0,7.17012
"A009",1982,9,48,0,0,1,1,1,0,0,16,0,7.20786
"A010",1976,3,49,0,0,1,1,1,0,0,16,0,6.39693
"A010",1977,4,47,0,0,1,1,1,0,0,16,0,6.43775
"A010",1978,5,46,0,0,1,1,1,0,0,16,0,6.43775
"A010",1979,6,44,0,0,1,1,1,0,0,16,0,6.43775
"A010",1980,7,43,0,0,1,1,1,0,0,16,0,6.52209
"A010",1981,8,34,0,0,1,1,1,0,0,16,0,6.61338
"A010",1982,9,40,0,0,1,1,1,0,0,16,0,6.73934
"A011",1976,24,47,1,0,0,1,0,0,1,12,0,6.65801
"A011",1977,25,48,1,0,0,1,0,0,1,12,0,6.72623
"A011",1978,26,45,1,0,0,1,0,0,1,12,0,6.80239
"A011",1979,27,45,1,0,0,1,1,0,1,12,0,6.90776
"A011",1980,28,47,1,0,0,1,1,0,1,12,0,7.03966
"A011",1981,29,17,1,0,0,1,1,0,1,12,0,7.12769
"A011",1982,30,47,1,0,0,1,1,0,1,12,0,7.24423
"A012",1976,21,47,1,0,1,1,1,0,1,12,0,6.55108
"A012",1977,22,46,1,0,1,1,1,0,1,12,0,6.62936
"A012",1978,23,47,1,0,1,1,1,0,1,12,0,6.72263
"A012",1979,24,47,1,0,1,1,1,0,1,12,0,6.7334
"A012",1980,25,47,1,0,1,1,1,0,1,12,0,6.72263
"A012",1981,26,47,1,0,1,1,1,0,1,12,0,6.95177
"A012",1982,27,46,1,0,1,1,1,0,1,12,0,7.05272
"A013",1976,26,48,1,0,1,1,1,0,0,12,0,6.90575
"A013",1977,27,48,1,0,1,1,1,0,0,12,0,6.90073
"A013",1978,28,50,1,0,1,1,1,0,0,12,0,7.17012
"A013",1979,29,48,1,0,1,1,1,0,0,12,0,7.26543
"A013",1980,30,48,1,0,1,1,1,0,0,12,0,7.25912
"A013",1981,31,46,0,0,1,1,1,0,0,12,0,7.25488
"A013",1982,32,46,1,0,1,1,1,0,0,12,0,7.40001
"A014",1976,15,45,0,0,1,1,1,0,0,17,0,6.80239
"A014",1977,16,45,0,0,1,1,1,0,0,17,0,6.80239
"A014",1978,17,45,0,0,1,1,1,0,0,17,0,6.9256
"A014",1979,18,44,0,0,1,1,1,0,0,17,0,7.00307
"A014",1980,19,44,0,0,1,1,1,0,0,17,0,7.1309
"A014",1981,20,44,0,0,1,1,1,0,0,17,0,7.12448
"A014",1982,21,44,0,0,1,1,1,0,0,17,0,7.12287
"A015",1976,9,50,0,0,0,0,0,1,0,14,0,5.94017
"A015",1977,10,46,0,0,0,0,0,1,0,14,0,5.86079
"A015",1978,11,48,0,0,0,0,0,1,0,14,0,5.99894
"A015",1979,12,46,0,0,0,0,0,1,0,14,0,6.0845
"A015",1980,13,48,0,0,0,0,0,1,0,14,0,6.39526
"A015",1981,14,41,0,0,0,0,0,1,0,14,0,6.47697
"A015",1982,15,48,0,0,0,0,0,1,0,14,0,6.47697
"A016",1976,16,50,1,0,1,1,0,1,0,12,1,5.97889
"A016",1977,17,50,1,0,1,1,0,1,0,12,1,5.78383
"A016",1978,18,48,1,0,1,1,0,1,0,12,1,5.85793
"A016",1979,19,48,1,0,1,1,0,1,0,12,1,5.95324
"A016",1980,20,50,1,0,1,1,0,1,0,12,1,6.14633
"A016",1981,21,50,1,0,1,1,0,1,0,12,1,6.17587
"A016",1982,22,49,1,0,1,1,0,1,0,12,1,6.38856
"A017",1976,16,49,0,1,0,0,1,0,0,14,0,6.62007
"A017",1977,17,48,0,1,0,0,1,0,0,14,0,6.49224
"A017",1978,18,49,0,1,0,0,1,0,0,14,0,6.77992
"A017",1979,19,50,0,1,0,0,1,0,0,14,0,6.74524
"A017",1980,20,51,0,1,0,0,1,0,0,14,0,7.09008
"A017",1981,21,46,0,1,0,0,1,0,0,14,0,7.1309
"A017",1982,22,47,0,1,0,0,1,0,0,14,0,7.1309
"A018",1976,25,47,0,1,1,1,1,0,0,16,0,6.90575
"A018",1977,26,46,0,1,1,1,1,0,0,16,0,6.90575
"A018",1978,27,47,0,1,1,1,1,0,0,16,0,7.6009
"A018",1979,28,47,0,1,1,1,1,0,0,16,0,7.64969
"A018",1980,29,47,0,1,1,1,1,0,0,16,0,7.71869
"A018",1981,30,48,0,1,1,1,1,0,0,16,0,7.78322
"A018",1982,31,47,0,1,1,1,1,0,0,16,0,7.80384
"A019",1976,40,37,1,1,0,1,1,0,1,12,0,6.38688
"A019",1977,41,49,1,1,0,1,1,0,1,12,0,6.47389
"A019",1978,42,50,1,1,0,1,1,0,1,12,0,6.54247
"A019",1979,43,47,1,1,0,1,1,0,1,12,0,6.67582
"A019",1980,44,47,1,1,0,1,1,0,1,12,0,6.7417
"A019",1981,45,25,1,1,0,1,1,0,1,12,0,6.83195
"A019",1982,46,40,1,1,0,1,1,0,1,12,0,6.93634
"A020",1976,25,50,0,0,0,0,1,0,0,16,0,6.78333
"A020",1977,26,49,0,1,0,0,1,0,0,16,0,6.85751
"A020",1978,27,49,0,1,0,0,1,0,0,16,0,6.98472
"A020",1979,28,48,0,1,0,0,1,0,0,16,0,7.0579
"A020",1980,29,48,0,1,0,0,1,0,0,16,0,7.20564
"A020",1981,30,49,0,1,0,0,1,0,0,16,0,7.10988
"A020",1982,31,48,0,1,0,0,1,0,0,16,0,7.26683
"A021",1976,28,42,1,1,1,0,1,0,1,4,0,6.05912
"A021",1977,29,46,1,1,1,0,1,0,1,4,0,6.05209
"A021",1978,30,49,1,1,1,0,1,0,1,4,0,5.99146
"A021",1979,31,49,1,1,1,0,1,0,1,4,0,6.21461
"A021",1980,32,48,1,0,1,0,1,0,1,4,0,6.32436
"A021",1981,33,45,1,0,1,0,1,0,1,4,0,6.44254
"A021",1982,34,42,1,1,1,0,1,0,1,4,0,6.44254
"A022",1976,20,46,0,0,0,0,1,0,0,14,0,6.59987
"A022",1977,21,45,0,0,0,0,1,0,0,14,0,6.59987
"A022",1978,22,44,0,0,0,0,1,0,0,14,0,6.68461
"A022",1979,23,46,0,0,0,0,1,0,0,14,0,6.72743
"A022",1980,24,47,0,0,0,0,1,0,0,14,0,6.88244
"A022",1981,25,51,0,1,0,0,1,0,0,14,0,6.95655
"A022",1982,26,47,0,0,0,0,1,0,0,14,0,7.04752
"A023",1976,11,50,0,0,0,1,1,0,0,16,0,6.90575
"A023",1977,12,50,0,0,0,1,1,0,0,16,0,6.90575
"A023",1978,13,51,0,0,0,1,1,0,0,16,0,7.49554
"A023",1979,14,50,0,0,0,1,1,0,0,16,0,7.66153
